tcode,title,module,purpose,description,business_process,related_tables,related_tcodes,common_errors,authorization_objects,keywords
VA01,Create Sales Order,SD,Create customer sales order,Creates a sales order,Order Management,VBAK;VBAP,VA02;VA03,Sales area missing,V_VBAK_VKO,sales order
VA02,Change Sales Order,SD,Modify sales order,Changes existing sales order,Order Management,VBAK;VBAP,VA01;VA03,Document locked,V_VBAK_VKO,change order
VA03,Display Sales Order,SD,Display sales order,Displays sales order,Order Management,VBAK;VBAP,VA01;VA02,Authorization missing,V_VBAK_VKO,display order
ME21N,Create Purchase Order,MM,Create purchase order,Creates PO,Procurement,EKKO;EKPO,ME22N;ME23N,Vendor missing,M_BEST_BSA,purchase order
ME22N,Change Purchase Order,MM,Modify purchase order,Changes PO,Procurement,EKKO;EKPO,ME21N;ME23N,Release pending,M_BEST_BSA,change PO
ME23N,Display Purchase Order,MM,Display purchase order,Displays PO,Procurement,EKKO;EKPO,ME21N;ME22N,Authorization missing,M_BEST_BSA,display PO
MIGO,Goods Movement,MM,Goods receipt/issues,Posts goods movement,Inventory,MKPF;MSEG,MIRO,Stock issue,M_MSEG_BWA,goods movement
MIRO,Invoice Verification,MM,Post invoice,Processes vendor invoice,Invoice,RBKP;RSEG,MIGO,GR missing,M_RECH_WRK,invoice
VL01N,Create Delivery,SD,Create delivery,Creates outbound delivery,Shipping,LIKP;LIPS,VL02N,Shipping point missing,V_LIKP_VST,delivery
VL02N,Change Delivery,SD,Update delivery,Changes delivery,Shipping,LIKP;LIPS,VL01N,PGI pending,V_LIKP_VST,delivery change
ZWM0010,Master Data,WM,Execute master data,Custom master data transaction for WM.,Business Process,ZTABLE1;ZTABLE2,,,,wm
ZMM0011,Reporting,MM,Execute reporting,Custom reporting transaction for MM.,Business Process,ZTABLE1;ZTABLE2,,,,mm
ZPP0012,Master Data,PP,Execute master data,Custom master data transaction for PP.,Business Process,ZTABLE1;ZTABLE2,,,,pp
ZFI0013,Reporting,FI,Execute reporting,Custom reporting transaction for FI.,Business Process,ZTABLE1;ZTABLE2,,,,fi
ZQM0014,Business Function,QM,Execute business function,Custom business function transaction for QM.,Business Process,ZTABLE1;ZTABLE2,,,,qm
ZSD0015,Master Data,SD,Execute master data,Custom master data transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZFI0016,Business Function,FI,Execute business function,Custom business function transaction for FI.,Business Process,ZTABLE1;ZTABLE2,,,,fi
ZSD0017,Custom Transaction,SD,Execute custom transaction,Custom custom transaction transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZQM0018,Reporting,QM,Execute reporting,Custom reporting transaction for QM.,Business Process,ZTABLE1;ZTABLE2,,,,qm
ZMM0019,Master Data,MM,Execute master data,Custom master data transaction for MM.,Business Process,ZTABLE1;ZTABLE2,,,,mm
ZMM0020,Master Data,MM,Execute master data,Custom master data transaction for MM.,Business Process,ZTABLE1;ZTABLE2,,,,mm
ZMM0021,Configuration,MM,Execute configuration,Custom configuration transaction for MM.,Business Process,ZTABLE1;ZTABLE2,,,,mm
ZQM0022,Custom Transaction,QM,Execute custom transaction,Custom custom transaction transaction for QM.,Business Process,ZTABLE1;ZTABLE2,,,,qm
ZFI0023,Master Data,FI,Execute master data,Custom master data transaction for FI.,Business Process,ZTABLE1;ZTABLE2,,,,fi
ZMM0024,Reporting,MM,Execute reporting,Custom reporting transaction for MM.,Business Process,ZTABLE1;ZTABLE2,,,,mm
ZQM0025,Custom Transaction,QM,Execute custom transaction,Custom custom transaction transaction for QM.,Business Process,ZTABLE1;ZTABLE2,,,,qm
ZFI0026,Reporting,FI,Execute reporting,Custom reporting transaction for FI.,Business Process,ZTABLE1;ZTABLE2,,,,fi
ZQM0027,Business Function,QM,Execute business function,Custom business function transaction for QM.,Business Process,ZTABLE1;ZTABLE2,,,,qm
ZWM0028,Business Function,WM,Execute business function,Custom business function transaction for WM.,Business Process,ZTABLE1;ZTABLE2,,,,wm
ZWM0029,Configuration,WM,Execute configuration,Custom configuration transaction for WM.,Business Process,ZTABLE1;ZTABLE2,,,,wm
ZWM0030,Configuration,WM,Execute configuration,Custom configuration transaction for WM.,Business Process,ZTABLE1;ZTABLE2,,,,wm
ZQM0031,Master Data,QM,Execute master data,Custom master data transaction for QM.,Business Process,ZTABLE1;ZTABLE2,,,,qm
ZMM0032,Master Data,MM,Execute master data,Custom master data transaction for MM.,Business Process,ZTABLE1;ZTABLE2,,,,mm
