error_id,module,error_message,possible_cause,resolution,related_tcode,related_table,severity
ERR001,SD,Sales area not defined,Sales area missing,Maintain sales area,VA01,VBAK,High
ERR002,MM,Release strategy not found,Configuration missing,Maintain release strategy,ME29N,EKKO,High
ERR003,MM,Deficit of stock,Insufficient inventory,Post goods receipt,MIGO,MSEG,Medium
ERR004,SD,Shipping point not determined,Shipping configuration missing,Assign shipping point,VL01N,LIKP,High
ERR005,FI,G/L account missing,Account determination incomplete,Maintain OBYC/account mapping,FB60,BKPF,Critical
ERR0006,MM,Custom error message 0,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZMM0000,ZTAB0000,High
ERR0007,PP,Custom error message 1,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZPP0001,ZTAB0001,Medium
ERR0008,QM,Custom error message 2,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZQM0002,ZTAB0002,Medium
ERR0009,SD,Custom error message 3,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZSD0003,ZTAB0003,Medium
ERR0010,SD,Custom error message 4,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZSD0004,ZTAB0004,High
ERR0011,MM,Custom error message 5,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZMM0005,ZTAB0005,High
ERR0012,WM,Custom error message 6,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZWM0006,ZTAB0006,Medium
ERR0013,FI,Custom error message 7,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZFI0007,ZTAB0007,Low
ERR0014,FI,Custom error message 8,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZFI0008,ZTAB0008,Low
ERR0015,SD,Custom error message 9,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZSD0009,ZTAB0009,High
ERR0016,MM,Custom error message 10,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZMM0010,ZTAB0010,Low
ERR0017,FI,Custom error message 11,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZFI0011,ZTAB0011,High
ERR0018,WM,Custom error message 12,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZWM0012,ZTAB0012,Low
ERR0019,QM,Custom error message 13,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZQM0013,ZTAB0013,Low
ERR0020,MM,Custom error message 14,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZMM0014,ZTAB0014,High
ERR0021,FI,Custom error message 15,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZFI0015,ZTAB0015,High
ERR0022,FI,Custom error message 16,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZFI0016,ZTAB0016,Low
ERR0023,FI,Custom error message 17,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZFI0017,ZTAB0017,High
ERR0024,PP,Custom error message 18,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZPP0018,ZTAB0018,Medium
ERR0025,FI,Custom error message 19,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZFI0019,ZTAB0019,High
ERR0026,WM,Custom error message 20,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZWM0020,ZTAB0020,High
ERR0027,PP,Custom error message 21,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZPP0021,ZTAB0021,Medium
ERR0028,MM,Custom error message 22,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZMM0022,ZTAB0022,Low
ERR0029,QM,Custom error message 23,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZQM0023,ZTAB0023,High
ERR0030,QM,Custom error message 24,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZQM0024,ZTAB0024,Low
ERR0031,MM,Custom error message 25,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZMM0025,ZTAB0025,High
ERR0032,QM,Custom error message 26,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZQM0026,ZTAB0026,Medium
ERR0033,WM,Custom error message 27,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZWM0027,ZTAB0027,Low
ERR0034,FI,Custom error message 28,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZFI0028,ZTAB0028,Medium
ERR0035,FI,Custom error message 29,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZFI0029,ZTAB0029,Medium
ERR0036,MM,Custom error message 30,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZMM0030,ZTAB0030,Low
ERR0037,FI,Custom error message 31,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZFI0031,ZTAB0031,High
ERR0038,FI,Custom error message 32,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZFI0032,ZTAB0032,High
ERR0039,PP,Custom error message 33,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZPP0033,ZTAB0033,High
ERR0040,QM,Custom error message 34,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZQM0034,ZTAB0034,High
ERR0041,SD,Custom error message 35,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZSD0035,ZTAB0035,High
ERR0042,WM,Custom error message 36,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZWM0036,ZTAB0036,Medium
ERR0043,WM,Custom error message 37,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZWM0037,ZTAB0037,Medium
ERR0044,QM,Custom error message 38,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZQM0038,ZTAB0038,High
ERR0045,MM,Custom error message 39,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZMM0039,ZTAB0039,Medium
ERR0046,SD,Custom error message 40,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZSD0040,ZTAB0040,High
ERR0047,SD,Custom error message 41,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZSD0041,ZTAB0041,High
ERR0048,FI,Custom error message 42,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZFI0042,ZTAB0042,High
ERR0049,MM,Custom error message 43,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZMM0043,ZTAB0043,Low
ERR0050,WM,Custom error message 44,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZWM0044,ZTAB0044,Medium
ERR0051,MM,Custom error message 45,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZMM0045,ZTAB0045,Low
ERR0052,WM,Custom error message 46,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZWM0046,ZTAB0046,High
ERR0053,FI,Custom error message 47,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZFI0047,ZTAB0047,High
ERR0054,PP,Custom error message 48,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZPP0048,ZTAB0048,Medium
ERR0055,WM,Custom error message 49,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZWM0049,ZTAB0049,High
ERR0056,FI,Custom error message 50,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZFI0050,ZTAB0050,Low
ERR0057,WM,Custom error message 51,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZWM0051,ZTAB0051,High
ERR0058,WM,Custom error message 52,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZWM0052,ZTAB0052,Medium
ERR0059,WM,Custom error message 53,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZWM0053,ZTAB0053,Low
ERR0060,PP,Custom error message 54,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZPP0054,ZTAB0054,High
ERR0061,PP,Custom error message 55,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZPP0055,ZTAB0055,Low
ERR0062,SD,Custom error message 56,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZSD0056,ZTAB0056,Medium
ERR0063,WM,Custom error message 57,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZWM0057,ZTAB0057,Low
ERR0064,FI,Custom error message 58,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZFI0058,ZTAB0058,High
ERR0065,MM,Custom error message 59,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZMM0059,ZTAB0059,Medium
ERR0066,FI,Custom error message 60,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZFI0060,ZTAB0060,High
ERR0067,SD,Custom error message 61,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZSD0061,ZTAB0061,Medium
ERR0068,WM,Custom error message 62,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZWM0062,ZTAB0062,High
ERR0069,FI,Custom error message 63,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZFI0063,ZTAB0063,High
ERR0070,PP,Custom error message 64,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZPP0064,ZTAB0064,High
ERR0071,SD,Custom error message 65,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZSD0065,ZTAB0065,Low
ERR0072,QM,Custom error message 66,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZQM0066,ZTAB0066,Low
ERR0073,MM,Custom error message 67,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZMM0067,ZTAB0067,Low
ERR0074,SD,Custom error message 68,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZSD0068,ZTAB0068,Medium
ERR0075,MM,Custom error message 69,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZMM0069,ZTAB0069,High
ERR0076,WM,Custom error message 70,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZWM0070,ZTAB0070,Low
ERR0077,PP,Custom error message 71,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZPP0071,ZTAB0071,Medium
ERR0078,PP,Custom error message 72,"Configuration, authorization or master data issue","Verify configuration, master data and user authorization",ZPP0072,ZTAB0072,High
