issue_id,module,title,symptoms,root_cause,diagnosis_steps,resolution,verification,related_tcodes,related_tables,priority,keywords
ISS0001,SD,Sales Order Not Visible,User cannot find sales order,Sales area/authorization missing,Check VA03 and SU53,Assign sales area or role,User can display order,VA03;SU53,VBAK;VBAP,High,sd
ISS0002,MM,Purchase Order Release Failed,Release button disabled,Release strategy not met,Check ME29N and release strategy,Maintain release strategy,PO released,ME29N;SPRO,EKKO;EKPO,High,mm
ISS0003,MM,Goods Receipt Failed,GR cannot be posted,PO or stock inconsistency,Check MIGO document,Correct PO/stock,GR posted,MIGO,MKPF;MSEG,Low,mm
ISS0004,SD,Delivery Creation Failed,Delivery not created,Shipping point missing,Check VL01N shipping data,Maintain shipping point,Delivery created,VL01N,LIKP;LIPS,Critical,sd
ISS0005,FI,Invoice Posting Error,Invoice not posted,Missing G/L account,Check account determination,Maintain G/L mapping,Invoice posted,FB60,BKPF;BSEG,Critical,fi
ISS0006,PP,Custom Issue 5,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZPP0005,ZTAB0005,High,pp
ISS0007,SD,Custom Issue 6,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZSD0006,ZTAB0006,Critical,sd
ISS0008,PP,Custom Issue 7,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZPP0007,ZTAB0007,Critical,pp
ISS0009,QM,Custom Issue 8,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZQM0008,ZTAB0008,High,qm
ISS0010,QM,Custom Issue 9,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZQM0009,ZTAB0009,Low,qm
ISS0011,FI,Custom Issue 10,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZFI0010,ZTAB0010,Medium,fi
ISS0012,FI,Custom Issue 11,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZFI0011,ZTAB0011,Medium,fi
ISS0013,MM,Custom Issue 12,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZMM0012,ZTAB0012,Critical,mm
ISS0014,QM,Custom Issue 13,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZQM0013,ZTAB0013,High,qm
ISS0015,WM,Custom Issue 14,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZWM0014,ZTAB0014,High,wm
ISS0016,WM,Custom Issue 15,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZWM0015,ZTAB0015,High,wm
ISS0017,SD,Custom Issue 16,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZSD0016,ZTAB0016,Medium,sd
